state,Latitude,Longitude
Bogota,4.60971,-74.08175
Amazonas,-4.2152800,-69.9405600
Antioquia,6.2518400,-75.5635900
Arauca,7.0847100,-70.7590800
Atlantico,10.9685400,-74.7813200
Bolivar,10.3997200,-75.5144400
Boyaca,5.5352802,-73.3677826
Caldas,5.0688900,-75.5173800
Caqueta,1.61438,-75.6062317
Casanare,5.3377500,-72.3958600
Cauca,2.43823,-76.6131592
Cesar,10.4631400,-73.2532200
Choco,5.6918800,-76.6583500
Cordoba,8.7479800,-75.8814300
Cundinamarca,4.8587599,-74.0586624
Guainia,2.9240900,-68.9352600
Guaviare,2.5728600,-72.6459100
Huila,2.9273,-75.2818909
La Guajira,11.5444400,-72.9072200
Magdalena,11.2407900,-74.1990400
Meta,4.1420000,-73.6266400
Narino,1.2136100,-77.2811100
Norte de Santander,7.8939100,-72.5078200
Putumayo,1.1528400,-76.6520800
Quindio,4.5338898,-75.6811066
Risaralda,4.8133302,-75.6961136
San Andres y Providencia,12.5847197,-81.7005615
Santander,7.1253900,-73.1198000
Sucre,9.3047199,-75.3977814
Tolima,4.43889,-75.2322235
Valle del Cauca,3.4372200,-76.5225000
Vaupes,1.2577800,-70.2347200
Vichada,6.1890300,-67.4858800
